,Year,Number of Games
0,1970,1
1,1996,149
2,1997,205
3,1998,339
4,1999,775
5,2000,1045
6,2001,688
7,2002,936
8,2003,969
9,2004,997
10,2005,1088
11,2006,1208
12,2007,1610
13,2008,1915
14,2009,1687
15,2010,1363
16,2011,1073
17,2012,753
18,2013,696
19,2014,537
20,2015,365
21,2016,226
